Kód obce,Název obce,Voliči v seznamu,Vydané obálky,Platné hlasy,Dělnic.str.sociální spravedl.,Blok proti islam.-Obran.domova,Občanská demokratická strana,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů,REALISTÉ,STAROSTOVÉ A NEZÁVISLÍ,Česká str.sociálně demokrat.,Radostné Česko,Řád národa - Vlastenecká unie,Komunistická str.Čech a Moravy,Strana svobodných občanů,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Občanská demokratická aliance,TOP 09,Česká strana národně sociální,Referendum o Evropské unii,SPORTOVCI,Strana zelených,SPR-Republ.str.Čsl. M.Sládka,Dobrá volba 2016,"ROZUMNÍ-stop migraci,diktát.EU",Křesť.demokr.unie-Čs.str.lid.,Unie H.A.V.E.L.,Česká pirátská strana,ANO 2011
529818,Chotýšany,434,294,292,1,6,"100,00",2,33,0,0,0,29,27,31,5,0,1,1,7,0,1,16,0,91,1,0,35,0,5
532037,Chrášťany,187,123,123,0,0,"100,00",0,3,0,0,0,1,20,9,1,0,1,0,9,0,0,14,0,40,1,0,20,0,4
529842,Jankov,748,430,429,2,5,"100,00",1,35,0,1,0,28,23,51,2,0,0,0,20,0,1,34,0,145,3,3,49,0,24
529851,Javorník,104,79,79,0,0,"100,00",0,13,0,0,0,11,3,7,1,0,0,0,6,0,2,5,0,20,2,0,9,0,0
532134,Ješetice,106,68,67,0,1,"100,00",0,15,0,0,0,4,2,6,0,0,0,1,5,0,0,6,0,19,0,0,7,0,1
531031,Kamberk,121,82,81,0,2,"100,00",0,8,0,0,0,5,17,2,0,0,0,0,1,0,2,1,0,28,0,0,9,0,6
529907,Keblov,155,99,99,0,1,"100,00",0,11,0,0,0,10,10,8,1,0,0,0,3,0,2,10,0,34,0,1,6,0,2
533084,Kladruby,245,183,182,0,4,"100,00",0,16,0,0,0,9,14,15,1,0,0,0,19,0,2,17,0,47,1,1,24,0,11
529931,Kondrac,383,272,267,0,1,"100,00",0,22,0,0,0,35,28,29,6,2,0,0,19,0,0,24,0,66,1,0,28,1,5
529940,Kozmice,241,171,170,0,2,"100,00",1,11,0,0,0,12,21,6,5,0,0,0,5,0,0,13,0,60,2,1,19,0,11
529958,Krhanice,765,505,502,1,7,"100,00",4,43,1,0,0,20,70,58,3,1,0,0,19,1,1,27,0,139,7,0,68,1,31
529974,Krňany,361,242,241,0,6,"100,00",1,27,0,0,0,10,38,12,0,1,0,0,1,0,4,20,0,69,2,2,27,1,19
529991,Křečovice,632,451,448,1,0,"100,00",2,24,0,0,1,24,30,47,5,0,1,0,37,1,2,40,0,141,8,1,55,0,28
530000,Křivsoudov,351,222,222,0,3,"100,00",0,16,0,0,0,16,17,19,1,0,0,0,18,0,0,11,0,66,4,1,41,3,5
530026,Kuňovice,66,61,61,1,0,"100,00",0,3,0,0,0,3,5,6,0,0,0,0,7,0,0,3,0,28,0,0,3,0,2
530051,Lešany,567,371,370,1,13,"100,00",1,44,0,0,0,13,37,31,1,0,2,0,16,0,4,39,0,105,6,0,40,1,13
530069,Libež,156,107,107,1,2,"100,00",0,15,0,0,0,10,5,3,0,2,0,0,8,0,1,15,0,42,0,0,3,0,0
532258,Litichovice,54,39,39,0,0,"100,00",0,4,0,0,0,0,2,4,0,0,0,0,6,0,0,4,0,10,1,1,3,1,3
